woy,Hemisphere,chronotype,within_variation,sd,se,ci
50,Northern,Evening,0.486798807,0.095476664,0.000221174,0.000433497
50,Northern,Morning,0.493462971,0.09742599,0.000354164,0.00069416
50,Northern,Night Owl,0.465004168,0.100133687,0.00065176,0.001277491
50,Southern,Afternoon,0.512940814,0.105051878,0.000504056,0.000987959
50,Southern,Evening,0.51403048,0.104343564,0.000547579,0.00107327
50,Southern,Morning,0.508632609,0.104323593,0.000834002,0.00163474
50,Southern,Night Owl,0.492055574,0.111361015,0.001682659,0.003298863
51,Northern,Afternoon,0.48791731,0.096314184,0.000190527,0.000373428
51,Northern,Evening,0.485517618,0.095726558,0.00022016,0.000431508
51,Northern,Morning,0.492452524,0.097786792,0.000353447,0.000692755
51,Northern,Night Owl,0.463074661,0.100140588,0.000645009,0.001264257
51,Southern,Afternoon,0.513759129,0.105345342,0.000500799,0.000981575
51,Southern,Evening,0.514928674,0.104232037,0.000543546,0.001065367
51,Southern,Morning,0.507886933,0.103482928,0.00081877,0.001604881
51,Southern,Night Owl,0.491541452,0.110023034,0.001648204,0.003231299
52,Northern,Afternoon,0.488178716,0.119617938,0.000259567,0.000508744
52,Northern,Evening,0.48498871,0.116889989,0.000294041,0.000576314
52,Northern,Morning,0.491953115,0.119525223,0.000474834,0.000930675
52,Northern,Night Owl,0.464130674,0.119223841,0.000837489,0.001641546
52,Southern,Afternoon,0.518257973,0.128587779,0.000674521,0.00132208
52,Southern,Evening,0.51920882,0.124617087,0.000705065,0.001381955
52,Southern,Morning,0.513824799,0.128508343,0.001126183,0.002207484
52,Southern,Night Owl,0.496061972,0.135603336,0.002214393,0.004341533
